PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Markieff Morris,WAS,28,73,27.0,37,36,11.5,4.5,9.4,1.0,2.8,1.4,1.8,1.0,4.6,1.9,1.7,0.8,0.5,8000000.0
Marreese Speights,ORL,30,52,13.0,15,37,7.7,2.7,6.7,1.7,4.5,0.8,1.1,0.4,2.2,0.8,0.8,0.2,0.4,2116955.0
Mason Plumlee,DEN,28,74,19.5,40,34,7.1,3.0,5.0,0.0,0.0,1.1,2.4,1.8,3.6,1.9,1.4,0.7,1.1,14041096.0
Matthew Dellavedova,MIL,27,38,18.7,21,17,4.3,1.4,4.0,0.8,2.1,0.7,0.7,0.4,1.3,3.8,1.3,0.4,0.0,9607500.0
Maurice Harkless,POR,25,59,21.4,36,23,6.5,2.5,5.0,0.8,2.0,0.7,1.0,0.8,2.0,0.9,0.7,0.8,0.7,10162922.0
Maxi Kleber,DAL,26,72,16.8,20,52,5.4,2.1,4.3,0.6,1.8,0.6,0.8,1.0,2.3,0.7,0.4,0.4,0.7,815615.0
Meyers Leonard,POR,26,33,7.7,17,16,3.4,1.4,2.4,0.3,0.8,0.3,0.3,0.4,1.8,0.5,0.3,0.2,0.0,9904495.0
Michael Beasley,NYK,29,74,22.3,24,50,13.2,5.5,10.9,0.5,1.2,1.7,2.1,1.3,4.3,1.7,1.9,0.5,0.6,2116955.0
Mike Conley,MEM,30,12,31.1,7,5,17.1,5.3,14.0,2.0,6.4,4.4,5.5,0.0,2.3,4.1,1.5,1.0,0.3,28530608.0
Mike Muscala,ATL,26,53,20.0,14,39,7.6,2.7,5.9,1.2,3.2,1.1,1.2,1.1,3.3,1.0,0.8,0.6,0.5,5000000.0
Mike Scott,WAS,29,76,18.5,39,37,8.8,3.6,6.9,0.9,2.1,0.7,1.0,0.7,2.6,1.1,1.0,0.3,0.1,1709538.0
Miles Plumlee,ATL,29,55,16.7,19,36,4.3,1.9,3.3,0.0,0.0,0.5,1.1,1.4,2.7,0.8,1.1,0.3,0.5,12500000.0
Milos Teodosic,LAC,31,45,25.2,29,16,9.5,3.4,8.0,2.0,5.2,0.9,1.0,0.4,2.4,4.6,2.2,0.5,0.1,6000000.0
Mindaugas Kuzminskas,NYK,28,1,1.9,0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025035.0
Mirza Teletovic,MIL,32,10,15.9,4,6,7.1,2.5,5.7,2.1,4.5,0.0,0.0,0.3,2.0,1.0,0.7,0.4,0.1,10500000.0
Montrezl Harrell,LAC,24,76,17.0,39,37,11.0,4.6,7.2,0.0,0.1,1.8,2.9,1.4,2.7,1.0,0.9,0.5,0.7,1471382.0
Myles Turner,IND,22,65,28.2,39,26,12.7,4.7,9.8,0.9,2.4,2.5,3.2,1.4,5.0,1.3,1.5,0.6,1.8,2569920.0
Nate Wolters,UTA,27,5,3.8,3,2,0.4,0.2,1.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,50000.0
Naz Mitrou-Long,UTA,24,1,0.5,0,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92160.0
Nemanja Bjelica,MIN,30,67,20.5,38,29,6.8,2.6,5.5,1.1,2.7,0.5,0.7,0.8,3.3,1.3,0.8,0.7,0.2,3949999.0
Nerlens Noel,DAL,24,30,15.7,6,24,4.4,1.8,3.5,0.0,0.0,0.7,0.9,1.6,4.0,0.7,0.9,1.0,0.7,4187599.0
Nick Collison,OKC,37,15,5.0,9,6,2.1,0.9,1.3,0.0,0.0,0.3,0.9,0.5,0.9,0.3,0.5,0.0,0.0,2328652.0
Nick Young,GSW,33,80,17.4,56,24,7.3,2.5,6.1,1.5,4.1,0.7,0.8,0.3,1.3,0.5,0.5,0.5,0.1,5192000.0
Nicolas Brussino,ATL,25,4,2.5,0,4,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1312611.0
Nikola Jokic,DEN,23,75,32.6,43,32,18.5,6.7,13.5,1.5,3.7,3.5,4.2,2.6,8.1,6.1,2.8,1.2,0.8,1471382.0
Nikola Mirotic,NOP,27,55,27.2,34,21,15.6,5.6,12.4,2.5,6.5,2.0,2.5,1.1,6.3,1.5,1.1,0.8,0.7,12500000.0
Nikola Vucevic,ORL,27,57,29.5,17,40,16.5,7.0,14.7,1.1,3.6,1.4,1.6,1.8,7.4,3.4,1.9,1.0,1.1,12250000.0
Noah Vonleh,CHI,22,54,16.2,24,30,4.9,1.9,4.3,0.4,1.2,0.7,1.1,1.3,4.5,0.6,0.6,0.4,0.3,3505233.0
Norman Powell,TOR,25,70,15.2,51,19,5.5,2.1,5.3,0.8,2.7,0.5,0.6,0.2,1.5,1.3,0.9,0.5,0.2,1471382.0
OG Anunoby,TOR,20,74,20.0,51,23,5.9,2.2,4.7,1.0,2.7,0.5,0.8,0.6,1.9,0.7,0.6,0.7,0.2,1645200.0
Omer Asik,CHI,31,18,10.1,7,11,1.2,0.5,1.2,0.0,0.0,0.2,0.7,0.5,2.1,0.2,0.5,0.1,0.2,10595505.0
Omri Casspi,GSW,30,53,14.0,40,13,5.7,2.3,3.9,0.2,0.4,0.9,1.3,0.6,3.2,1.0,0.7,0.3,0.4,2106470.0
Pascal Siakam,TOR,24,81,20.7,59,22,7.3,3.1,6.1,0.4,1.6,0.7,1.1,1.0,3.5,2.0,0.8,0.8,0.5,1312611.0
