,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
14,Kawhi Leonard,SAS,24,7,3,4,35.8,20.3,7.4,15.6,1.6,3.7,3.9,5,1.9,5.6,7.4,2.6,2.1,1.1,0.6,2.6,36.1,1,0,-5
13,Derrick Rose,CHI,26,12,6,6,37.8,20.3,7.8,19.6,1.9,5.5,2.9,3.3,1.1,3.8,4.8,6.5,3.2,1.2,0.5,1.8,37.7,1,0,6.2
12,Dirk Nowitzki,DAL,37,5,1,4,36.2,21.2,7.6,16.8,0.8,3.4,5.2,5.6,0.8,9.6,10.4,2.4,2,0.4,0.4,3.2,37.7,2,0,-2
11,Damian Lillard,POR,24,5,1,4,40.2,21.6,7.8,19.2,1,6.2,5,6.4,0.4,3.6,4,4.6,2.4,0.4,0.6,3,33.9,0,0,-5.4
10,LaMarcus Aldridge,POR,29,5,1,4,41.7,21.8,7.4,22.4,0.6,2.2,6.4,7.2,4.2,7,11.2,1.8,1.6,0.4,2.4,3.2,44.7,3,0,-8.2
9,Chris Paul,LAC,30,12,6,6,37.1,22.1,7.9,15.8,2.3,5.4,4,4.3,0.6,3.8,4.4,8.8,2.2,1.8,0.3,3.1,44.6,6,0,3.1
8,Jimmy Butler,CHI,25,12,6,6,42.2,22.9,7.8,17.8,2.3,6,4.9,6,1.5,4.1,5.6,3.2,1.8,2.4,0.8,2.3,42.1,1,0,4.5
7,Bradley Beal,WAS,22,10,6,4,41.8,23.4,8.1,20,2.3,6.3,4.9,5.9,1.4,4.1,5.5,4.6,2.6,1.6,0.7,1.9,41.2,0,0,2.9
6,Blake Griffin,LAC,26,14,7,7,39.8,25.5,10,19.6,0.1,0.5,5.4,7.6,2.7,10,12.7,6.1,3.2,1,1,3.1,52.8,12,3,3.7
5,Monta Ellis,DAL,29,5,1,4,39.4,26,10.4,22.2,2.2,6,3,4,0.8,2.4,3.2,5.2,3.2,2,0.6,3.6,42.2,0,0,-0.8
4,James Harden,HOU,25,17,9,8,37.4,27.2,7.6,17.3,2.4,6.3,9.6,10.5,0.7,5,5.7,7.5,4.5,1.6,0.4,2.9,47,6,1,-0.4
3,Stephen Curry,GSW,27,21,16,5,39.3,28.3,9.5,20.9,4.7,11,4.6,5.5,1,4,5,6.4,3.9,1.9,0.1,2.2,46,1,0,7.9
2,LeBron James,CLE,30,20,14,6,42.2,30.1,11.4,27.2,1.3,5.5,6.1,8.4,1.9,9.5,11.3,8.5,4.1,1.7,1.1,2.9,60.3,14,3,4
1,Anthony Davis,NOP,22,4,0,4,42.9,31.5,11.8,21.8,0,0.5,8,9,2.3,8.8,11,2,3.3,1.3,3,3,57.2,3,0,-5
