,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
335,Jordan Farmar,LAC,28,36,23,13,14.7,4.6,1.7,4.4,2.7,0.9747,0.3,0.3,0.2,0.9,1.9,0.9,0.6,0.1,1.4,10,0,0,-1.2
334,John Lucas III,DET,32,21,8,13,12.9,4.7,2,5,1.4,434,0.2,0.2,0.2,0.6,2.9,0.8,0.4,0,0.9,10.2,0,0,-2.2
332,Bismack Biyombo,CHA,22,64,26,38,19.4,4.8,1.6,2.9,0,0,1.6,2.7,2.5,3.9,0.3,0.8,0.3,1.5,2.2,17.4,6,0,-0.5
332,Damjan Rudez,IND,29,68,28,40,15.4,4.8,1.8,3.9,2.5,1015,0.2,0.3,0.1,0.6,0.8,0.7,0.2,0.1,1.2,7,0,0,0.5
331,Matthew Dellavedova,CLE,24,67,43,24,20.6,4.8,1.7,4.6,2.5,1.0175,0.4,0.6,0.6,1.3,3,0.9,0.4,0,2.3,11.8,2,0,0.6
330,Dante Exum,UTA,19,82,38,44,22.2,4.8,1.8,5.1,3.2,1.0048,0.2,0.4,0.3,1.3,2.4,1.4,0.5,0.2,1.8,10.9,0,0,1.1
329,Shawn Marion,CLE,37,57,36,21,19.3,4.8,2.1,4.7,0.8,0.2088,0.5,0.6,1.1,2.4,0.9,0.6,0.5,0.5,1,12.7,0,0,0.9
328,Andrew Nicholson,ORL,25,40,14,26,12.3,4.9,2.1,4.8,1,317,0.4,0.6,0.4,1.6,0.6,0.6,0.2,0.3,1.3,8.9,0,0,-2.1
327,Lou Amundson,NYK,32,53,17,36,17.7,4.9,2.1,4.8,0,0,0.8,1.6,1.8,3.3,1.3,1.2,0.4,1,2.4,16,3,0,-2.8
326,Mike Muscala,ATL,23,40,26,14,12.6,4.9,2.1,3.8,0.6,0.2454,0.6,0.6,1.3,1.7,0.6,0.5,0.4,0.5,1.3,11.5,1,0,1.4
324,Gigi Datome,BOS,27,21,11,10,10,5,2,4.2,1.9,855,0,0,0.1,1.2,0.4,0.4,0.1,0.3,0.7,8.2,0,0,3.2
324,Lavoy Allen,IND,26,63,29,34,17,5,2.2,4.7,0,0,0.5,0.7,2,3.2,1.2,0.6,0.2,0.7,1.6,15,4,0,1.4
323,Joe Ingles,UTA,27,79,36,43,21.2,5,1.9,4.5,2.6,0.9256,0.4,0.5,0.3,1.9,2.3,1.2,0.9,0.1,1.6,13,0,0,-0.6
322,James Ennis III,MIA,24,62,27,35,17,5,1.6,4,1.5,489,1.3,1.5,0.8,2,0.8,0.6,0.4,0.3,1.4,11,1,0,-0.1
